round,ID1,ID2,ID3,ID4,ID5,ID6,d1,d2,d3,d4,d5,d6,LA1,LA2,LA3,LA4,LA5,LA6,Atotal1,Atotal2,Atotal3,Atotal4,Atotal5,Atotal6
1,ilex06,fag09,coc03,ilex10,fag03,coc01,1.56,1.54,1.02,1.74,2.1,1.06,3.4,4.71,1.67,3.79,7.89,2.03,704,389,325,846,687,378
2,coc07,ilex08,fag05,coc05,ilex04,fag08,1.04,1.7,1.86,1,2.04,2.24,1.89,3.88,6.73,1.69,4.31,7.4,479,725,571,447,634,462
3,fag06,coc02,ilex03,fag04,coc06,ilex01,1.94,0.9,1.86,2.4,1.24,3.16,7.75,1.81,3.53,8.44,2.59,10.08,952,654,961,1023,641,1563
4,ilex09,fag02,ilex07,fag01,ilex05,fag07,1.64,2.3,2.1,2.7,2.1,2.14,3.07,8.21,4.92,11.98,4.48,7.93,1178,559,1895,526,1714,503
5,ilex09,fag02,ilex07,fag01,ilex05,fag07,1.64,2.3,2.1,2.7,2.1,2.14,3.07,8.21,4.92,11.98,4.48,7.93,1178,559,1895,526,1714,503
6,ilex09,fag02,ilex07,fag01,ilex05,fag07,1.64,2.3,2.1,2.7,2.1,2.14,3.07,8.21,4.92,11.98,4.48,7.93,1178,559,1895,526,1714,503
