"Option","Sp","IDplant","Chamber","Timehour","round","Cycle","Time10MIN","Pr","Status","BattV","Flow_mean","PAR_ext","HR_ext","T_ext","VPD_ext","Tc","HRc","PARc","VPDc","WP","E","A","Tleaf","VPDleaf","gtotal","gs","WPgroup","VPDgroup","WUE","vpc"
"3d","fag","fag01",4,2024-09-10 09:00:00,4,394.5,2024-09-10 08:50:00,941.958333333333,1,12.04,36.0158188068725,1176.09583333334,51.8485416666667,21.183625,12.162848755269,30.07,53.199,1057.45,20.0703651391833,-0.0979931012856695,4.7277612301702,12.3294341772509,29.7442935694689,19.3049324733867,227.262754610737,718.374518026265,"(0, -0.1 MPa)","VPD 1-2 kPa",2.60788004660021,22.7627385508599
"3d","fag","fag01",4,2024-09-10 10:00:00,4,397,2024-09-10 09:55:00,941.083333333333,1,12.04,35.8796799179837,1213.80416666667,48.3973333333333,22.2203333333334,13.904349269966,32.344,51.062,1062.45,23.8548598205045,-0.0979931012856695,5.84934915940609,13.5090359890134,31.2507990232154,20.9410485928664,254.025701743402,915.347935913655,"(0, -0.1 MPa)",NA,2.30949386348224,24.8652996184121
"3d","fag","fag01",4,2024-09-10 11:00:00,4,399.5,2024-09-10 10:50:00,940.229166666667,1,12.04,35.8590688068725,1469.6375,45.9275833333333,22.990625,15.2508789128561,32.9875,51.746,1491.825,24.3646351794415,-0.0979931012856695,6.59422023118875,11.5604855450688,32.6623664003192,23.4503899476359,253.800601881178,892.978913448762,"(0, -0.1 MPa)",NA,1.75312396913756,26.1274647229204
"3d","fag","fag01",4,2024-09-10 12:00:00,4,401.5,2024-09-10 11:40:00,939.527777777778,1,12.04,35.5932632513169,1649.22083333334,43.4579583333334,23.9370416666667,16.8809034390753,34.167,48.181,1563.7,27.9903867099864,-0.0979931012856695,6.48905488030539,12.9957703830251,34.2183486348482,28.20037140437,214.809690119273,698.608001261464,"(0, -0.1 MPa)",NA,2.00272160164154,25.9851137342421
"3d","fag","fag01",4,2024-09-10 14:00:00,4,407,2024-09-10 13:50:00,937.388888888889,1,12.04,35.5333188068725,1393.28333333333,38.5485,25.3616666666667,19.9757581022229,35.111,49.109,1366.2,28.9216465075068,-0.0979931012856695,7.7299655764114,13.1667990472077,33.7917895144277,24.9074936394529,278.389382487169,1284.96891077803,"(0, -0.1 MPa)",NA,1.70334510769197,27.9089257105805
"3d","fag","fag01",4,2024-09-10 15:00:00,4,409.5,2024-09-10 14:55:00,937,1,12.0395,35.751013251317,179.116666666667,39.8963333333333,25.09525,19.2297739754016,30.4135,49.2915,661.2,22.8258601184898,-0.0979931012856695,4.33894676049652,9.70357236080913,28.996770953414,19.3471922093412,188.474529905956,479.856148232685,"(0, -0.1 MPa)","VPD 1-2 kPa",2.23638889722139,21.5099711218657
"3d","fag","fag01",4,2024-09-11 08:00:00,4,451.5,2024-09-11 07:40:00,936.416666666667,1,12.04,35.6949299179837,716.408333333334,59.0821666666667,18.2264583333333,8.60896464165342,25.1155,58.486,603.7,13.3175472064231,-0.0979931012856695,2.84503337558371,11.5866244724153,24.7113393858505,12.5451104592368,205.903469357453,501.69694010069,"(0, -0.1 MPa)","VPD 1-2 kPa",4.07257945437568,18.7331890833989
"3d","fag","fag01",4,2024-09-11 09:00:00,4,454.5,2024-09-11 08:55:00,935.857142857143,1,12.04,35.2135688068726,1131.5125,52.8725119047619,20.0567142857143,11.106602039243,29.31975,51.606,1044.325,19.8421720437182,-0.0979931012856695,4.07855481549091,11.2636306690718,29.5024482892719,20.2974941990834,183.576107486043,390.723431415354,"(0, -0.1 MPa)",NA,2.76167200849943,21.1483945996348
"3d","fag","fag01",4,2024-09-11 10:00:00,4,457,2024-09-11 09:53:20,934.949074074074,1,12.0395555555556,34.3675780661318,1200.36666666667,50.0333888888889,21.2292222222222,12.6781445354126,31.193,52.7473333333333,1018.7,21.6460650885938,-0.0979931012856695,5.43879427769534,12.5091364804899,30.236733117057,19.2053890231136,255.040232213579,920.772882867921,"(0, -0.1 MPa)","VPD 1-2 kPa",2.29998338635279,24.0647950167602
"3d","fag","fag01",4,2024-09-11 11:00:00,4,459.5,2024-09-11 10:55:00,933.916666666667,1,12.04,34.9732354735392,1474.325,46.06725,22.4731666666666,14.7446938812186,33.159,51.5385,1479.95,24.7223437783376,-0.0979931012856695,6.74450501812326,12.072766833697,32.7146400832719,23.4766350096092,259.549850076942,1080.63506847833,"(0, -0.1 MPa)",NA,1.79001524963747,26.2742537787987
